0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
XAF1	HNF1B	MEIS2	CEP55	SASS6	TMC4	DDX60L	PLK2	FRY	PIK3AP1	CSE1L	HS3ST1	KIF14	IFI6	NUSAP1	ANXA4	HMGN3	RNASEH2B
MAP3K1	MSI2	HERC6	ALDH1A1	ITGB3BP	SLC16A7	HSPG2	ZBTB20	HNF1B	FDPS	HNRNPAB	MYRFL	TACC1	PPIH	MSH2	SBSPON	COLCA2	UBL3
ZBTB20	LRP8	TESC	MKI67	PIK3R1	F5	ST3GAL1	HERC6	HERC6	PLA2R1	MLEC	S100A10	SMC1A	IFI44	POLD3	CTSZ	IFI6	NUCKS1
RHOBTB3	PROS1	PARP14	ANP32E	CEP152	OAS2	RIF1	SMC6	PTTG1	XAF1	ZFP36L1	PIK3R1	DEPDC1	PTPRK	ATP1B1	PARP14	SNCG	EEF1B2
HERC6	HSD17B2	ITGA3	TOX3	VSIG2	SULF2	ASPH	NAALADL2	TUBA1B	IFI44L	ANKRD22	FANCI	MSH2	ACYP1	HELLS	KCNC3	KCTD3	CCDC34
OAS2	PLEKHB1	ITPR2	DIAPH3	HS3ST1	KIF9	LRP8	DDX60L	MRE11	ATP9A	OAS3	CENPJ	KIF18A	CA12	FANCI	OAS3	PRKCA	NEURL1
AGR3	FDPS	ROR1	SKA3	TACC1	MAP3K1	STAT1	KDM5B	HMGN2	MX2	MX1	ANXA4	TOPBP1	NTSR1	SMC1A	RHOBTB3	KCNC3	POMP
ITGA1	RFC1	GNAI1	CCNF	DTYMK	AHNAK	NTSR1	PROS1	CDK5RAP2	PPIH	MINDY2	IFI6	HS3ST1	CSE1L	BRCA1	CDK5RAP2	PTPRK	HAUS6
S100A10	LMO4	NTSR1	MYRFL	MAML2	PPM1G	HS3ST1	FRY	DTYMK	NUCKS1	VSIG2	ENC1	TOX3	ANP32B	DBF4	MAP3K1	LGALS4	DYNLL1
IDH2	NAALADL2	ITGA1	DTYMK	TSPAN8	PARP14	CA12	EEF1B2	MYRFL	SLC1A1	PON2	LGALS4	DEK	TNS4	NSD2	SP110	PPM1G	PIK3AP1
SLC1A1	SMC6	ASPH	BUB1	NCAPG	SCML1	ANXA4	OAS2	PAPSS2	S100A10	GDA	GNAI1	KNL1	NAALADL2	ANXA4	GTF3A	RNASEH2B	EZR
STAT1	DNAJC9	HSD17B2	GTF3A	MND1	EEA1	PDS5B	IFI44	KCNC3	PARP14	PLOD2	SLC1A1	ARHGAP11A	ITGA3	POLE	IQGAP2	DYNLL1	ATXN1
ITGA3	DYNLL1	S100P	CDCA2	TOX3	USH1C	HERC6	ONECUT2	RFC1	HNRNPAB	HNF4A	BTBD16	PIK3R1	SCD	CSE1L	ANO1	HSPG2	LGALS4
IFI44	ETS2	LMO4	NCAPG	CFTR	EPS8L1	KCTD3	CSE1L	MAML2	VSIG2	NUDC	CCDC18	VSIG2	RHOBTB3	CIP2A	ITGB3BP	RHOBTB3	PCNT
HNF1B	MALAT1	MRPL13	KIF2C	ROR1	KCNC3	S100P	EPB41L1	LGR4	RPL21	MRPL13	SNCG	FDPS	HERC6	NASP	FGF9	NUDT4	TMEM245
LGALS4	ALDH1A1	ACTB	KIF11	MSH2	BMP4	HAUS6	TESC	SNCG	EEF1B2	ATP9A	SPC25	MASTL	KDM5B	PARPBP	MRPL13	SMC3	HACD3
RNASEH2B	KIF9	STAT1	GNAI1	MGME1	SMC3	PPIH	MALAT1	SCML1	HSPG2	HMGN3	SAMHD1	KIF4A	JUND	TCOF1	EPB41L1	PLEKHB1	NUDC
CSE1L	RPL21	MAP3K1	KIF20B	MRE11	ZFP36L1	BPTF	MIA	TESC	ONECUT2	NOSTRIN	MASTL	PLK4	SCML1	ANP32E	SELENOW	NTSR1	SUZ12
HMGN3	USH1C	SELENOW	OIP5	PLK4	SP110	F5	MTIF3	GDA	UBC	ANXA4	CA12	BARD1	PROS1	KIF22	KDM5B	HNF1B	CBX5
SH3PXD2A	PDS5B	EML4	GTSE1	FOXM1	ONECUT2	SP110	ANXA4	LRP8	INPP1	PHTF2	FGF9	TSPAN8	DDX60L	GTF3A	S100A10	S100A10	SCD
ARHGAP29	MRPL13	IDH2	CKAP2	SMC1A	MLXIP	EEF1B2	USH1C	CDKN2A	F5	HACD3	FRY	MGME1	TMC4	RIF1	ZWILCH	FMNL2	PLCB4
LMO4	BPTF	XAF1	IQGAP2	TOPBP1	MIR222HG	MX2	ZFP36L1	S100A10	HACD3	KIF9	MX2	SIPA1L2	SMC6	GNAI1	USH1C	STAT1	ATP9A
MX1	IQGAP2	ARHGAP29	PIK3R1	BLM	GDA	ZBTB20	PARP14	NUDT4	MINDY2	F5	ROR1	CDK1	UBE2H	SLC12A2	TRIM31	RHOBTB1	SP110
MSI2	PLA2G4A	MX2	FOXM1	FDPS	SBSPON	OAS3	KCTD3	AGR3	HOXB3	OTULINL	NUCKS1	CDK5RAP2	ATP11C	F5	RHBDL2	PRKDC	KIAA1324
KDM5B	LAMB1	SSFA2	S100A10	S100A10	OAS3	ONECUT2	RPL21	STAT1	LIPH	CDC42EP5	EXOSC8	TM4SF4	TSPAN5	ANP32B	ANP32E	PROS1	CD24
PRKCA	HACD3	RHOBTB3	TACC1	CHRNA5	KDM5B	HSD17B2	KCNC3	PRKDC	DYNLL1	PRKDC	CKAP5	CHEK1	TCOF1	H2AFV	H2AFV	PLA2G4A	GNAI1
TESC	SLF2	MSI2	DLGAP5	SCML1	LAMB1	H2AFJ	PRKDC	RHOBTB3	FA2H	ARHGAP23	EPB41L1	BUB1	SLC1A1	EXOSC8	DDX60L	IQGAP2	PLOD2
KCTD3	HS3ST1	SH3PXD2A	DEPDC1B	CMSS1	HS3ST1	ALDH1A1	DYNLL1	GTF3A	SERINC2	FA2H	PAPSS2	FGF9	HACD3	NAALADL2	PSIP1	MEIS2	PNPT1
KIF13A	ARL6IP6	JUND	DSCC1	ANP32B	TRIM31	LAP3	TACC1	F5	ZFP36L1	MTIF3	SKA2	DDX39A	MRE11	TNS4	NUDT4	SCML1	ELMO1
EPB41L1	PHIP	MYOF	CSE1L	IQGAP2	MX1	CEP135	LAMB1	ZBTB20	SBSPON	HEPH	COLCA2	HMMR	HOXB3	BTBD16	ARL6IP6	PLD1	TRIM2
EML4	AHNAK	ARID5B	CENPJ	UBE2T	TSPAN1	PROS1	HIST1H2AC	H2AFJ	SP110	FGFR4	DSCC1	UBE2C	INPP1	TOPBP1	XAF1	SLC16A7	COLCA2
S100P	BCAS1	BPTF	SASS6	PGP	ANXA4	TFPI	MAOA	JADE1	SMC6	TFPI	PGP	MX2	OAS2	ITGB3BP	PAM	RHBDL2	UBC
EEF1B2	GDA	FRY	HS3ST1	MASTL	PRKCA	ZFP36L1	RHBDL2	SLC1A1	NOX1	SMC6	SULT2B1	SKA2	RNASEH2B	MYRFL	KCTD3	VSIG2	RGS17
PROS1	MLXIP	KRT20	CLSPN	MYRFL	CD82	SBSPON	IPO5	RABAC1	ANP32B	FRMD4B	FDPS	CKAP2L	LGALS3	MX1	PRKDC	CFTR	NCOA3
ARID5B	SFPQ	KDM5B	HJURP	XRCC2	ARHGAP23	UBL3	MX1	CMSS1	SELENOW	SELENOW	HOXB3	NCAPH	FMN1	NDC80	KRT20	FGFR4	IVNS1ABP
DYNLL1	TRIM2	TMC4	SKA2	CTSZ	LRP8	UBC	HGD	DNMT1	CMSS1	KIAA1324	KRT19	ANO1	PRKDC	TOX3	OAS2	KRT20	USP12
