0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
GPX2	ADD3	ST3GAL1	LMO4	DIAPH3	ST3GAL1	PRSS3	USH1C	HS3ST1	SYNE2	SLC38A1	GRAMD1B	NCAPD3	PRSS3	PFKP	ADAR	KITLG	GMCL1
ANXA3	MAML2	TFDP1	STIL	NUDT4	NBAS	S100A10	UBC	FA2H	SH3D19	IFIT3	PKIB	PAPSS2	MUC13	SLC1A1	CDKN2A	F5	POSTN
CSE1L	PARP14	MICAL2	ETS2	SLC7A5	PFKP	MICAL2	CCPG1	SARS	ST3GAL1	CTSC	CAPN2	NUDT4	GRAMD1B	MNAT1	NSD2	USH1C	DNAJC1
EPS8	USH1C	HOXB3	TMEM45B	TM4SF4	PPARG	MLXIP	PITPNC1	ITGA3	ZNRF3	HNF4A	ANXA2	OAS3	VSIG2	CTSC	LAP3	KRT19	UCN3
CEBPG	CEBPG	BCAR3	GNAI1	PSAT1	EPS8L1	TFPI	SEMA3C	BCAR3	XRCC4	CSE1L	CENPK	SKAP1	SERPINB1	LMO4	ALDH1A1	MLPH	RNF24
GTF2I	CCDC50	PPARG	ARHGAP11A	SARS	GPX2	PDS5B	TRIB3	PFKP	ADD3	PAPSS2	HMGA1	NSD2	PNPT1	HOXB3	MICAL2	TAP1	TANK
ATXN1	CDK5RAP2	OAS3	ADD3	PKIB	TPM1	INPP1	MYH14	NSD2	SKAP1	FYN	SKAP1	S100A10	CDK5RAP2	RNF24	IMMP1L	UTRN	CALM1
DBI	GFPT1	ADAR	SH3D19	SBSPON	IMMP1L	CDK5RAP2	NBAS	HNF1B	S100A10	FRY	SPRED1	MSN	TFDP1	ACTG1	OAS3	KCTD3	HECTD1
SEMA3C	GNAI1	PYGB	TMPO	ADD3	POLR2L	HSPA8	LAMB1	IDH2	PDLIM1	CCPG1	CHPT1	ASNS	EIF1	GNAI1	IQGAP2	GMDS	RABAC1
CA12	PPARG	ANXA3	DBI	PLK4	USH1C	IMMP1L	S100P	H2AFV	SLC38A1	NFIA	MELK	MAML2	IQGAP2	F5	KRT20	MICAL2	FAM222A
UACA	ARSJ	HSPA9	GRAMD1B	TMEM45B	TLE4	SLC1A1	UTRN	C1orf21	TFPI	JUND	LMO4	FAM83D	TLE4	CDK5RAP2	ZNF143	EXPH5	NKD1
ARHGAP18	PDE3B	C1orf21	TM4SF4	ARL6IP4	EXOSC8	RNF43	EXPH5	EIF1	PPIH	CCNI	PNPT1	LGR4	SYNE2	PTMA	PAPSS2	LPIN2	TRIM33
IMMP1L	PARP9	PPA1	HNF1B	RNF24	TSPAN8	TRIM25	PFKP	NQO1	GRAMD1B	PTPRH	HNF1B	KITLG	TGFBR2	TMPRSS4	FYN	SAE1	SYT17
HNF1B	TGFBR2	TFPI	FA2H	PAPSS2	ARHGAP18	TM4SF4	CCT7	ATP1B1	CD44	IMMP1L	SH3D19	SH3KBP1	ONECUT2	CD44	GARS	MSN	NUCKS1
ST3GAL1	NT5E	TESC	S100A10	MAML2	RABAC1	FYN	RPL28	SCP2	VSIG2	MX2	FA2H	CENPF	SLC7A5	ADD3	RTKN2	FANCL	SYTL1
PFKP	IFI44	ARHGAP18	CDK1	C1orf21	ZNRF3	SEMA3C	FYN	PRKDC	CSE1L	GNAI1	TLE4	C1orf21	CDKN2A	PLAUR	ARL6IP4	PPIH	SMCHD1
ASNS	HNF4A	IDH2	PAPSS2	SELENOF	PLA2G16	ADAR	LIMCH1	ASNS	PAFAH1B3	PRKDC	BLM	ZNF143	ARHGAP23	OPTN	PPARG	DCBLD2	GUSB
CHPT1	TM4SF4	CEBPG	PMEPA1	PNPT1	IPO9	ETS2	PLK2	MAML2	HNF1B	CBLC	IRS1	FYN	PDLIM1	PPA1	H2AFJ	LGR4	ITGB3BP
SP100	ROR1	ROR1	NCAPG	ASNS	SEMA3C	POLR2L	SMC6	CAPN2	CDK5RAP2	HSPD1	MNAT1	CEP55	PRKDC	PLA2R1	ARHGAP23	CCPG1	NASP
SNHG8	IFI6	IFI44	NUF2	TSPAN8	LGR4	TKT	TGFBR2	TPM1	GFPT1	TSPAN3	SP100	ANLN	DYNLL1	CA12	SULT2B1	TSTD1	PRKD2
CFH	SORT1	LMO4	RACGAP1	SLC12A2	SORT1	ITGA6	SCML1	PDS5B	PITPNC1	TMEM61	PLK4	ARHGAP11A	ACTL6A	C1orf21	PRKDC	MUC13	FGF9
MUC13	BCAR3	PLA2R1	PLAUR	PARP12	SAMD12	MSN	IRS1	SELENOF	PRKDC	RPL27A	TSPAN8	MND1	TSPAN8	GOLIM4	SKAP1	DDX60	FANCL
NT5E	PTMA	LAMB1	CCNA2	POLQ	ARHGAP23	ARSJ	PLAUR	ZNF143	RCOR2	TRIM25	KIFC1	SH3D19	SLC7A1	PADI1	FA2H	MAML2	SH3D19
IRS1	RNF24	CAPN2	PRC1	CENPN	HSPA8	C12orf57	GSTK1	MYRFL	NT5E	ATXN1	MYRFL	TPM1	NT5E	PRSS3	EIF1	SLC1A1	LIMCH1
PPA1	HS3ST1	RAVER2	RAD51AP1	TFPI	KITLG	CEBPG	MAML2	SORL1	SAMD12	FAT1	BRCA2	UBE2C	GPX2	SEMA3C	SCAMP1	PLA2G16	LRP5
CTSC	INPP1	EXOSC8	CCNF	TMEM54	ARAP2	ACTL6A	KRT20	TNS3	UTRN	VSIG2	PAPSS2	NUSAP1	HNF4A	CFAP44	MLXIP	ZNHIT2	CPEB4
BCAR3	PLK2	GNAI1	IRS1	TMPRSS4	MLPH	TMPRSS4	SAMD12	USH1C	CCDC50	ITPR2	LGR4	OIP5	NTSR1	S100A10	SH3KBP1	MLXIP	GMDS
PIK3R1	SAE1	SBSPON	LAMB1	RBCK1	SELENOF	ASNS	F5	CCDC50	EIF1	PLCB4	PIK3R1	SMC2	POLR2L	ADAMTS6	PYGB	FAM107B	GNAI1
ADAR	PRSS3	PRSS3	PPA1	KITLG	PKIB	UACA	MLXIP	ADD3	TGFBR2	PDS5B	ARSJ	EZH2	ANXA2	ALDH1A1	SAE1	ARHGAP23	ATP1B1
NBAS	STXBP6	SAMD12	SMC4	SH3D19	SFPQ	FA2H	SLC7A5	CCDC34	S100P	CBFA2T3	ARL6IP4	WDR62	PFKP	TFPI	USH1C	FMNL2	CAPN2
JUND	MICAL2	CSE1L	TKT	PLAUR	MNAT1	GOLIM4	NOSTRIN	GTF2I	DNAJC1	PIK3R1	IMMP1L	NFIA	CCDC50	SLC7A5	CTTNBP2	DNAJC9	HGD
TFDP1	C12orf57	SP110	DEPDC1B	ATP1B1	LIMCH1	GRAMD1B	IPO9	PLD1	MAPK6	CDKN2A	UACA	PRR11	MAPK6	ARHGAP18	SORL1	SLC38A1	FKBP10
ONECUT2	FOS	PARP9	TSPAN8	DDX60	UTRN	HNF1B	MACO1	ANXA2	GARS	SMC6	ADD3	BUB1B	IMMP1L	TGFBR2	C1orf21	OPTN	TMOD1
EIF1	FA2H	TGFBR2	MNAT1	SNHG8	TMSB4X	NBAS	TMSB10	TRIB3	FYN	INPP1	EPS8L1	LMO4	SORL1	CAPG	NUDT4	SMARCC1	TMEM132A
SLC7A5	CD55	ADD3	ADAR	ZNF143	C12orf57	GTF2I	CRYBG1	SERPINB1	C1orf21	PARP9	TRPS1	ROR1	MYCBP2	AGR3	PDS5B	C12orf57	USP12
SORL1	VSIG2	HS3ST1	MAML2	FA2H	TGFBR2	SLC38A1	SORL1	SAMD12	TLE4	GFPT1	BMP4	NCAPH	TNS4	EPS8	GHITM	IRS1	SKAP1
MAML2	SCAMP1	SNCG	ANXA2	NCAPH	SH3D19	CAST	SORT1	TLE4	RNF43	LIPH	PFKP	CKAP2L	MIR222HG	ST3GAL1	PLA2R1	TRPS1	TESC
PDS5B	RBCK1	ARHGAP23	DYNLL1	ITGA3	DBI	NFIA	SNTB1	VSIG2	FLNA	HOXB3	ASNS	GNAI1	MNAT1	ANXA3	WARS	LINC00685	ASRGL1
SH3KBP1	PCMTD1	TRPS1	RAVER2	ETS2	DNAJA1	SAMD12	BAZ1B	CFAP44	IMMP1L	PHF11	KITLG	SBSPON	SCML1	ONECUT2	RABAC1	PTGES2	PLK2
RBCK1	TNS4	UACA	HSPA8	S100A10	CAPG	PFKP	TSPAN8	IMMP1L	TRPS1	APLP2	ASRGL1	DEK	SLC38A1	HNF1B	DPYD	HSPD1	CDK5RAP2
PRSS3	RPS6KA5	F5	ROR1	HOXB3	PARP12	MNAT1	ACTL6A	NBAS	ADAR	UTRN	ST3GAL1	CDCA8	C12orf57	SLC22A18	TNS4	NUB1	ADAMTS6
RNF24	ARID5B	CTSC	RPL28	ANXA2	OAS1	RASEF	ZNF143	SLC38A1	PDS5B	CAST	GPRC5A	F5	TMSB10	PRKDC	CDK5RAP2	DNAJC1	NEDD1
