0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
RIF1	GGH	DGKD	PNO1	AKAP7	PROS1	ENO1	TFDP1	SULT2B1	GPA33	PFDN2	NDC1	MDC1	BRI3BP	PRPS2	FDPS	ITGA2	IGFBP4
PDS5B	AKAP9	LGALS4	SLC44A4	MMS22L	GSN	TNFRSF11A	HSPD1	SUPT16H	DYNLL1	NOM1	DIAPH3	KIF18A	P4HA1	PRSS3	SUZ12	RNF157	SEMA6A
ITGA9	DIAPH1	TFDP1	CENPF	HAT1	FAT1	NOC3L	ARHGAP26	FDFT1	SLC2A1-AS1	COPS3	ZNF462	KIF14	CEP295	NFIB	GMPS	BAZ1B	MET
FAM13A	FTH1	SYNE2	CIP2A	FCGRT	ACTL6A	ZBED3	NR4A1	SMC1A	TFDP1	DYNLL1	ANP32E	KIF23	SNX6	SULT2B1	SLC2A1-AS1	SMC1A	ST18
EIF2S1	KMT2A	SRGAP1	PAPSS2	ZNF462	SLC44A1	MAP4K4	THBS1	NDC1	NDUFS6	TJP3	RPL22L1	PLK1	RAD21	ATF7IP	ZNF462	LYAR	KRT20
MUC12	IRS2	SRM	KIF20B	TMPRSS4	LGI4	EMB	VPS13C	PUS7	EPHX2	CMSS1	PAPSS2	KIF4A	PSMB3	PLCD3	IDI1	TPM3	EMB
PCMTD1	PCF11	PAG1	RPL22L1	MTHFD1	USP14	NFIB	VAV3	PDS5B	GPSM2	HSPD1	BRCA2	SHCBP1	XRN1	TMPRSS4	ME1	HNRNPR	PKN1
PROS1	USP14	GPSM2	FANCI	ITGA9	PLCE1	VAV3	PROS1	VSNL1	KLC4	MAST4	KCNQ1	ASPM	TNRC6B	TRIB1	HLA-DQB1	PDS5B	MIS18BP1
DGKD	POLD2	SULT2B1	PSMB3	SMC6	EIF2S1	MTUS1	PDCD4	MYOF	GALNT1	GCNT1	LGALS4	BAZ1B	TNFRSF11A	SEMA6A	C7orf50	HSPA9	LINC01473
C7orf50	PIGZ	GMPS	TK1	ANLN	TOMM40	SLC5A1	ZC3H6	KRT19	SESTD1	P4HA1	SIVA1	PSMB3	ACSL3	HMGN2	MAST4	CYB5B	SPDEF
EFNB2	SMC3	EHD4	DYNLL1	BUB1	GABRA2	TFDP1	KLF12	MMS22L	KIAA1109	GPA33	MDC1	CENPJ	JUP	FERMT1	KIF21A	PKDCC	PHF14
SLC6A6	ME1	TBC1D4	TACC3	SRPK1	NUP107	MTHFD1	GPX2	DYNLL1	ZNF827	TRIB1	ATP1B1	CKAP5	CD24	C10orf99	NQO1	PSMD2	GOLPH3L
NFIB	ZNF462	ABCC4	SRRT	MCM8	SULT2B1	SEMA5A	AMD1	MAP4K4	GUCY2C	LINC02086	ACVR1C	DHFR	LDHA	HSPD1	LGALS4	NDC1	TOX
PRSS3	SLC12A2	KCNQ1	SIVA1	PRPS2	TFDP1	KIF21A	CCT3	PAPSS2	ZBED3	S100A10	IARS	OIP5	CHCHD10	ANKRD22	OPTN	CA12	SEMA3C
YPEL2	POU2F1	PLOD2	CDC6	NFIB	BAZ1B	MAST4	TNRC6B	PPM1G	SMC3	SLC7A5	KLC4	FCGRT	CBLB	SLC39A5	ITGA9	GPX2	FRYL
SRGAP1	PPM1G	KLC4	SULT2B1	TPX2	SEMA6A	HMGCR	SKA2	ATP9A	MYO7B	HIST1H2AC	FANCI	LMNB1	EAPP	TRABD2A	SOS2	CCDC88A	NDE1
KIF21A	PSMD14	ACAT1	DMKN	TCOF1	CEMIP2	GMPS	PCMTD1	MTHFD1L	C10orf99	FAM162A	XRCC5	LCN15	HSPA9	ABCC4	NFIB	EAPP	XRN1
KIAA1217	PAK1IP1	HIST1H2AC	CKAP2L	CENPN	FCGRT	CCDC138	CALCOCO1	TRIB1	MISP	EPAS1	GGH	NDC80	TJP3	PFDN2	DYNLL1	CFTR	PNO1
