comparison	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	avg_log2FC
Early_EEC_vs_Goblet	ANKRD65	2.11375481251558e-39	0.661288247607585	0.367	0.03	4.11146448582405e-35	0.954037275421616
Early_EEC_vs_Goblet	RAD21	3.03286795375053e-20	0.661158996948989	1	0.647	5.89923145684015e-16	0.953850806137428
Early_EEC_vs_Goblet	MTRNR2L12	1.08062809914828e-19	0.660296544490073	1	0.551	2.10192971565332e-15	0.952606550251948
Early_EEC_vs_Goblet	ABHD13	9.89427247540069e-14	0.657503125422089	0.5	0.218	1.92453493919019e-09	0.948576498415442
Early_EEC_vs_Goblet	KLHL24	2.70515441078053e-17	0.656454553893199	0.656	0.309	5.2617958444092e-13	0.947063729470694
Early_EEC_vs_Goblet	KIF19	1.21707314130788e-29	0.656406149074005	0.522	0.101	2.36732896715795e-25	0.946993896078089
Early_EEC_vs_Goblet	LAMA5	1.64268705455163e-21	0.654335061317583	0.689	0.283	3.19519058980837e-17	0.944005948042652
Early_EEC_vs_Goblet	MAN1A1	1.16893453846239e-14	0.654107710581742	0.722	0.415	2.27369457076319e-10	0.943677950263512
Early_EEC_vs_Goblet	ZNRF1	3.03180634290755e-20	0.652604040507351	0.578	0.215	5.89716651758948e-16	0.941508612904056
Early_EEC_vs_Goblet	RTN4	6.82135709411002e-24	0.65193900257568	1	0.986	1.32682216837534e-19	0.94054916597803
Early_EEC_vs_Goblet	MYT1	9.00618468209051e-39	0.651774979698437	0.467	0.061	1.75179298251343e-34	0.94031253098644
Early_EEC_vs_Goblet	PARD3	2.74061918152621e-21	0.650892630206969	0.667	0.266	5.33077836998663e-17	0.939039569750767
Early_EEC_vs_Goblet	CCT6A	6.84167777877251e-25	0.649020040618159	1	0.91	1.33077474474904e-20	0.936337994037372
Early_EEC_vs_Goblet	NAE1	2.68156100375383e-19	0.648526091484876	0.722	0.332	5.21590430840157e-15	0.935625376072333
Early_EEC_vs_Goblet	KIF3A	5.54566759350866e-15	0.647526591151793	0.556	0.254	1.07868780361337e-10	0.934183401898426
Early_EEC_vs_Goblet	MRPL28	6.02012736826333e-23	0.647011998259899	0.944	0.444	1.1709749744009e-18	0.933441001285214
Early_EEC_vs_Goblet	ARL3	1.04775223630526e-20	0.646416161769113	0.9	0.46	2.03798287483736e-16	0.932581390934777
Early_EEC_vs_Goblet	NONO	5.54514213385601e-23	0.646029074318891	1	0.861	1.07858559645633e-18	0.932022941789951
Early_EEC_vs_Goblet	EIF4G2	4.13153444992408e-30	0.643701116063845	1	0.991	8.03624765854732e-26	0.928664407960001
Early_EEC_vs_Goblet	ATP11A	2.08158216655425e-15	0.643022793377377	0.478	0.176	4.04888547216468e-11	0.92768579518411
Early_EEC_vs_Goblet	IFT57	4.13526068631083e-13	0.642881082801666	0.589	0.309	8.04349556094319e-09	0.927481350039291
Early_EEC_vs_Goblet	ADNP	2.81486302253453e-23	0.641902572849295	0.956	0.466	5.47519006513192e-19	0.926069658583545
Early_EEC_vs_Goblet	ZNF580	1.88805225731691e-18	0.640141738884431	0.656	0.286	3.67245044570712e-14	0.923529312154606
Early_EEC_vs_Goblet	AFDN	7.39820503114956e-23	0.640066821293746	0.989	0.58	1.4390248606089e-18	0.923421228918049
Early_EEC_vs_Goblet	ZNF326	1.79782372180896e-20	0.639856299981081	0.844	0.444	3.49694692129062e-16	0.923117510864266
Early_EEC_vs_Goblet	ROCK1	1.53560130298265e-20	0.638966763541626	0.856	0.492	2.98689809443155e-16	0.921834181054375
Early_EEC_vs_Goblet	PIK3R3	8.16759322670887e-26	0.638946723662266	0.5	0.119	1.58867855852714e-21	0.921805269619802
Early_EEC_vs_Goblet	NASP	1.06867421272819e-21	0.63833894406495	0.789	0.345	2.07867821117759e-17	0.920928429008801
Early_EEC_vs_Goblet	LIMS1	1.61876547627217e-08	0.637679575677167	0.511	0.324	0.0003148660727897	0.919977161505627
Early_EEC_vs_Goblet	F10	8.691090431777e-78	0.637643353636051	0.4	0.004	1.69050399988495e-73	0.919924904146539
Early_EEC_vs_Goblet	RSF1	6.17969624698836e-21	0.636994288865956	0.978	0.551	1.20201271700171e-16	0.918988501621506
Early_EEC_vs_Goblet	CCT3	1.19699798931417e-25	0.63487639185122	1	0.929	2.328280789015e-21	0.915933022101234
Early_EEC_vs_Goblet	TPPP3	1.21850387085689e-30	0.634301133563856	0.844	0.253	2.37011187920374e-26	0.915103099822823
Early_EEC_vs_Goblet	NARF	4.51528799700156e-16	0.634153218807064	0.678	0.361	8.78268668296773e-12	0.914889703936724
Early_EEC_vs_Goblet	ACTL6A	2.60198606345318e-19	0.63329914702436	0.611	0.245	5.06112309202278e-15	0.913657538811255
Early_EEC_vs_Goblet	ZC3H13	8.77452655809208e-22	0.632936724711118	0.956	0.472	1.70673316081449e-17	0.913134673937232
Early_EEC_vs_Goblet	SCAND1	3.48964708300098e-24	0.632754510742695	1	0.98	6.7877125411452e-20	0.912871794748608
Early_EEC_vs_Goblet	TFDP2	1.2634782600584e-19	0.632252430035422	0.567	0.201	2.45759156363959e-15	0.912147445402099
Early_EEC_vs_Goblet	TSG101	8.62125536275358e-23	0.631547349509522	0.989	0.599	1.6769203806092e-18	0.911130229223956
Early_EEC_vs_Goblet	PRKDC	1.11018265053857e-23	0.63041211375261	1	0.528	2.15941627356258e-19	0.909492430227219
Early_EEC_vs_Goblet	IFT22	1.82713445331239e-18	0.629548578856384	0.622	0.267	3.55395922513793e-14	0.9082466127148
Early_EEC_vs_Goblet	PROX1	1.10814724346345e-15	0.629230462104855	0.622	0.272	2.15545720326076e-11	0.907787667254944
Early_EEC_vs_Goblet	DLG5	1.51196139848735e-27	0.628604517340688	0.489	0.104	2.94091611619774e-23	0.906884619847811
Early_EEC_vs_Goblet	TUT4	2.43120224595755e-17	0.628564519580557	0.578	0.236	4.72893148861204e-13	0.906826915277624
Early_EEC_vs_Goblet	APOC3	3.71529568312365e-83	0.627585355923617	0.444	0.006	7.22662163324382e-79	0.905414280725538
Early_EEC_vs_Goblet	PIN4	6.1006584763473e-18	0.62591190747492	0.822	0.519	1.18663908023431e-13	0.903000004947419
Early_EEC_vs_Goblet	MAP4K4	1.54586117286989e-21	0.624724662136992	0.589	0.197	3.00685456734923e-17	0.901287171986072
Early_EEC_vs_Goblet	MAP1LC3A	4.95989245968271e-16	0.624685564619401	0.7	0.38	9.64748682332883e-12	0.901230766191331
Early_EEC_vs_Goblet	KANSL1	5.2690612269723e-18	0.624435642595738	0.778	0.427	1.02488509925838e-13	0.900870204927185
Early_EEC_vs_Goblet	JAKMIP2	8.26396679842302e-29	0.624429525807908	0.433	0.074	1.60742418196126e-24	0.900861380267716
Early_EEC_vs_Goblet	RTN2	1.93773934596269e-19	0.624205146621618	0.644	0.263	3.76909680183203e-15	0.900537669528377
Early_EEC_vs_Goblet	HOXB8	8.15147732368328e-13	0.62387305467654	0.5	0.227	1.58554385422963e-08	0.900058562126093
Early_EEC_vs_Goblet	PKM	4.85883247716608e-25	0.622569926986118	1	0.981	9.45091505133575e-21	0.898178546269476
Early_EEC_vs_Goblet	STAG2	4.46475691396183e-22	0.620520644161531	0.9	0.426	8.68439867334716e-18	0.895222056101067
Early_EEC_vs_Goblet	SCN1B	3.25815086194775e-22	0.620501501035212	0.544	0.153	6.33742924157457e-18	0.895194438407659
Early_EEC_vs_Goblet	PTK2	7.05875347060736e-19	0.61994377653665	0.989	0.557	1.37299813756784e-14	0.894389812039401
Early_EEC_vs_Goblet	SMARCE1	2.41302758924731e-15	0.619208752615282	0.589	0.273	4.69357996384494e-11	0.893329396673109
Early_EEC_vs_Goblet	SYNRG	1.01244146254677e-16	0.61824511806807	0.8	0.454	1.96929988879973e-12	0.891939165890616
Early_EEC_vs_Goblet	MORN2	7.85487126004922e-17	0.617369170082299	0.633	0.293	1.52785100879217e-12	0.890675440075468
Early_EEC_vs_Goblet	CPNE1	3.24245039028564e-21	0.616809618489732	0.978	0.558	6.30689025414459e-17	0.88986817776775
Early_EEC_vs_Goblet	TP53BP1	1.29390509875041e-19	0.615828098681183	0.733	0.348	2.51677480757943e-15	0.888452144007422
Early_EEC_vs_Goblet	H3F3B	2.52680646435138e-28	0.615176726206402	1	1	4.91489125380987e-24	0.887512412168283
Early_EEC_vs_Goblet	PTK7	4.45932685957191e-24	0.614426120604079	0.544	0.153	8.67383667455331e-20	0.886429517188149
Early_EEC_vs_Goblet	ZBTB20	3.05535136251772e-12	0.613668015597826	0.656	0.397	5.94296393523321e-08	0.885335802855155
Early_EEC_vs_Goblet	SULF2	1.87659829971088e-15	0.613564952159735	0.578	0.259	3.65017135276763e-11	0.885187113744123
Early_EEC_vs_Goblet	CUX1	1.07966282513003e-19	0.612782042194475	0.822	0.417	2.10005216116042e-15	0.88405761341978
Early_EEC_vs_Goblet	ISL1	3.11270053669457e-14	0.612699754078415	0.278	0.062	6.05451381392461e-10	0.883938896762816
Early_EEC_vs_Goblet	SEZ6L2	1.71514732797906e-14	0.612617736444577	0.722	0.39	3.33613306765208e-10	0.883820570329214
Early_EEC_vs_Goblet	PNISR	9.09110050437783e-20	0.611135623637749	1	0.717	1.76830995910653e-15	0.881682333532764
Early_EEC_vs_Goblet	CRYZ	5.6263529382654e-19	0.607905797977171	0.511	0.171	1.094381910022e-14	0.877022680069313
Early_EEC_vs_Goblet	GCLC	9.58968531679059e-08	0.607070272281314	0.444	0.244	0.00186528969096894	0.875817271291365
Early_EEC_vs_Goblet	LAPTM4B	9.31980079146801e-18	0.605040979545137	0.722	0.36	1.81279445194844e-13	0.87288962072437
Early_EEC_vs_Goblet	FXR1	7.73138707821406e-21	0.604964773068081	0.944	0.473	1.50383210058342e-16	0.872779678017838
Early_EEC_vs_Goblet	ZMAT2	4.57165214418231e-17	0.604126702853143	0.822	0.467	8.89232058564901e-13	0.87157059827483
Early_EEC_vs_Goblet	TESC	9.7145326605399e-31	0.603702818054221	0.989	0.343	1.88957374780162e-26	0.870959061777517
Early_EEC_vs_Goblet	UBE2E3	8.65667733613907e-20	0.603521627009866	0.989	0.671	1.68381030865241e-15	0.870697658356372
Early_EEC_vs_Goblet	MYEF2	2.36261630999479e-20	0.60323660610467	0.544	0.182	4.59552498457086e-16	0.870286460109896
Early_EEC_vs_Goblet	PHF6	4.51115129267802e-15	0.602951404422036	0.622	0.302	8.77464037938802e-11	0.869875001056708
Early_EEC_vs_Goblet	DYNLL1	8.82109138532295e-23	0.602450619089133	1	0.966	1.71579048535917e-18	0.869152520540378
Early_EEC_vs_Goblet	ENC1	5.45146950812806e-20	0.600712414608763	0.911	0.381	1.06036533402599e-15	0.866644821556497
Early_EEC_vs_Goblet	IFT81	2.36615294105192e-17	0.600525690679549	0.456	0.141	4.6024040856401e-13	0.866375435869805
Early_EEC_vs_Goblet	PPIB	7.31204265795642e-17	0.599891213150491	1	0.998	1.4222654173991e-12	0.865460078285078
Early_EEC_vs_Goblet	TUBB	1.3807342807816e-19	0.599346752409834	1	0.931	2.68566624954829e-15	0.864674587474572
Early_EEC_vs_Goblet	DYRK1B	3.28685686497509e-18	0.597528311140575	0.511	0.178	6.39326528806306e-14	0.862051131273265
Early_EEC_vs_Goblet	BRD7	3.97404472650835e-19	0.596588677720209	0.933	0.499	7.72991439753139e-15	0.86069552679745
Early_EEC_vs_Goblet	DLGAP4	1.24923941791781e-15	0.594995939545441	0.778	0.44	2.42989559179192e-11	0.858397691331277
Early_EEC_vs_Goblet	DNAJB6	1.80241111826471e-19	0.594744920263513	1	0.742	3.50586986613669e-15	0.858035547058072
Early_EEC_vs_Goblet	SPATS2	1.71925224927686e-11	0.594460916147848	0.644	0.397	3.34411755006843e-07	0.85762581572881
Early_EEC_vs_Goblet	FUNDC2	1.28430585656032e-17	0.593851182271592	0.956	0.586	2.49810332159548e-13	0.856746155689274
Early_EEC_vs_Goblet	CBX1	2.12447718133047e-13	0.592533838097476	0.667	0.372	4.1323205654059e-09	0.854845629782133
Early_EEC_vs_Goblet	C11orf49	1.64016184215049e-23	0.591796929078191	0.578	0.175	3.19027879916691e-19	0.853782494794424
Early_EEC_vs_Goblet	RGS2	3.30518549342629e-10	0.588553114445613	0.311	0.103	6.42891630326347e-06	0.84910265951044
Early_EEC_vs_Goblet	TRIM24	1.28264227689379e-16	0.588103170680992	0.556	0.225	2.49486749278611e-12	0.848453527872542
Early_EEC_vs_Goblet	LRRC49	4.47846076503495e-27	0.58743115990353	0.433	0.081	8.71105403406949e-23	0.847484021256474
Early_EEC_vs_Goblet	GCLM	3.72874312256471e-07	0.586579347362224	0.456	0.271	0.00725277824770061	0.846255115527366
Early_EEC_vs_Goblet	CD24	8.24021493972664e-21	0.585968698152359	1	0.994	1.60280420792623e-16	0.845374134940571
Early_EEC_vs_Goblet	JPX	1.0827000524133e-17	0.585548572575314	0.722	0.333	2.10595987194912e-13	0.844768021854017
Early_EEC_vs_Goblet	GSK3B	5.63527370839305e-13	0.585043833297645	0.633	0.357	1.09611708901953e-08	0.844039837001181
Early_EEC_vs_Goblet	MBP	2.82014172415264e-12	0.583969311676718	0.733	0.47	5.4854576676493e-08	0.842489629987342
Early_EEC_vs_Goblet	BCL7A	2.58163667156477e-20	0.583628134716294	0.533	0.167	5.02154148986063e-16	0.841997415678473
Early_EEC_vs_Goblet	PCBP4	2.02557558977099e-18	0.582686517013997	0.533	0.188	3.93994707966355e-14	0.840638948488955
Early_EEC_vs_Goblet	RBPJ	1.03448666901576e-16	0.582325852069385	0.7	0.352	2.01218001990256e-12	0.840118618961942
Early_EEC_vs_Goblet	ITGB1	3.19646504012591e-21	0.582279157377703	1	0.899	6.2174441495489e-17	0.840051252761816
Early_EEC_vs_Goblet	LIMD2	1.76997697829485e-42	0.582045968238517	0.367	0.026	3.44278222048132e-38	0.839714831947124
Early_EEC_vs_Goblet	AC010642.2	1.07142109412631e-15	0.582034637585513	0.7	0.393	2.08402117018509e-11	0.839698485270224
Early_EEC_vs_Goblet	APOH	1.02550229949831e-15	0.581713372582221	0.611	0.283	1.99470452275416e-11	0.839234997843164
Early_EEC_vs_Goblet	DNMT3A	5.66877679811439e-15	0.581569091770288	0.5	0.199	1.10263377500123e-10	0.839026844631293
Early_EEC_vs_Goblet	YWHAG	1.02925521215401e-19	0.581519518695434	1	0.586	2.00200431316076e-15	0.83895532580204
Early_EEC_vs_Goblet	RPL7L1	1.57657431851025e-19	0.581477495708854	1	0.572	3.0665947069343e-15	0.838894699447697
Early_EEC_vs_Goblet	TP53BP2	2.75929422227729e-13	0.58123868973757	0.567	0.281	5.36710319175155e-09	0.838550175257191
Early_EEC_vs_Goblet	TRIM44	3.81353005053992e-16	0.5810145863151	1	0.599	7.41769730130519e-12	0.838226862360948
Early_EEC_vs_Goblet	ASCL2	2.91347690143492e-24	0.578740651895274	0.378	0.063	5.66700392098107e-20	0.834946268450158
Early_EEC_vs_Goblet	PSIP1	5.26406124388306e-13	0.578647266997168	0.556	0.271	1.02391255254769e-08	0.834811542520767
Early_EEC_vs_Goblet	MAD1L1	1.25207773839267e-13	0.577835151700701	0.5	0.209	2.43541640894758e-09	0.833639907809923
Early_EEC_vs_Goblet	DYNC2H1	2.3107208143505e-29	0.577341660470909	0.411	0.064	4.49458305599316e-25	0.832927950459981
Early_EEC_vs_Goblet	SORBS2	1.80990046433924e-19	0.576634871233066	0.556	0.196	3.52043739318626e-15	0.831908269131591
Early_EEC_vs_Goblet	ZNF638	2.21367500545712e-20	0.57511597515418	0.978	0.531	4.30581925311464e-16	0.829716965290956
Early_EEC_vs_Goblet	TRAF4	2.03399618007524e-14	0.574900848910101	0.778	0.557	3.95632596986435e-10	0.829406603725457
Early_EEC_vs_Goblet	DMXL2	1.57516165712539e-19	0.574761553743417	0.589	0.222	3.06384693927461e-15	0.829205643279264
Early_EEC_vs_Goblet	CCNI	5.42446341797945e-24	0.571046341167645	1	0.989	1.05511237943118e-19	0.823845724520349
Early_EEC_vs_Goblet	C9orf16	6.97406703413152e-23	0.57080416653916	1	0.987	1.35652577880892e-18	0.823496340384804
