comparison	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	avg_log2FC
early_EEC_vs_goblet	PBX1	1.66894151910651e-09	0.49936111856217	0.433	0.241	3.24625814881407e-05	0.720425809362408
early_EEC_vs_goblet	RPS26	2.17284612413577e-28	0.499177127099945	1	0.999	4.22640299605648e-24	0.72016036579229
early_EEC_vs_goblet	SNRNP70	6.54025638071382e-23	0.499128697984574	0.97	0.793	1.27214526861264e-18	0.72009049734771
early_EEC_vs_goblet	JAKMIP2	3.90341946873424e-28	0.499071120278646	0.351	0.065	7.59254120863498e-24	0.720007430276902
early_EEC_vs_goblet	SUPT4H1	2.5617422284996e-07	0.498427205253178	0.679	0.573	0.00498284480865457	0.719078457262905
early_EEC_vs_goblet	CNTRL	1.10948376873211e-16	0.497136428902202	0.396	0.143	2.15805687856084e-12	0.717216260622455
early_EEC_vs_goblet	ZNF644	2.21668852992676e-16	0.496990175221753	0.769	0.491	4.31168085956055e-12	0.71700526116296
early_EEC_vs_goblet	DMXL2	1.70495606570287e-18	0.496935150525787	0.522	0.23	3.31631004339864e-14	0.716925877306963
early_EEC_vs_goblet	GCLM	1.20795520497127e-08	0.496665552592705	0.47	0.297	0.000234959366918962	0.716536929705873
early_EEC_vs_goblet	RPL6	2.72913666792711e-19	0.49612913896434	1	1	5.30844373278502e-15	0.715763048424365
early_EEC_vs_goblet	SSBP3	2.69899001584374e-14	0.49487824201861	0.627	0.375	5.24980547981767e-10	0.713958385604096
early_EEC_vs_goblet	NUMA1	3.96266408071429e-15	0.49487824201861	0.799	0.545	7.70777790339737e-11	0.713958385604096
early_EEC_vs_goblet	SSRP1	4.63109186667545e-24	0.494457278004815	0.933	0.5	9.00793678987042e-20	0.713351062909003
early_EEC_vs_goblet	SUGP2	6.47188162883616e-18	0.494308603723514	0.649	0.356	1.25884569562492e-13	0.713136571260661
early_EEC_vs_goblet	HLA-A	3.21626202576806e-14	0.493983287265957	1	1	6.25595126632145e-10	0.712667238820624
early_EEC_vs_goblet	MBP	7.38148090765578e-12	0.493557528641515	0.709	0.503	1.43577185134813e-07	0.712052998964526
early_EEC_vs_goblet	EIF3F	1.21116667419348e-17	0.49348131503032	1	0.996	2.35584029797373e-13	0.711943045965607
early_EEC_vs_goblet	HDAC8	3.51768439871869e-19	0.49341945255495	0.47	0.181	6.84224792394773e-15	0.711853797279173
early_EEC_vs_goblet	HNRNPK	5.0685935260245e-21	0.493202999314987	1	0.998	9.85892126747026e-17	0.711541521263294
early_EEC_vs_goblet	PTOV1	9.88597658626981e-16	0.493191900978173	0.813	0.531	1.92292130579534e-11	0.711525509747811
early_EEC_vs_goblet	BAG6	2.39142648539771e-15	0.492587290272054	0.739	0.476	4.65156365674708e-11	0.710653240880424
early_EEC_vs_goblet	YIPF4	1.45764230265416e-14	0.492512177031064	0.866	0.597	2.8352600428926e-10	0.710544875380144
early_EEC_vs_goblet	TALDO1	3.949900119758e-20	0.491181380137283	1	0.976	7.68295072294129e-16	0.708624941301055
early_EEC_vs_goblet	TMED4	2.67960446214132e-21	0.490995998384895	0.985	0.631	5.21209863931109e-17	0.708357491966214
early_EEC_vs_goblet	SUPT20H	1.38472510600049e-19	0.490463223809493	0.806	0.464	2.69342880368156e-15	0.707588860728369
early_EEC_vs_goblet	SPA17	3.96306239705576e-21	0.490201694134708	0.41	0.123	7.70855266851316e-17	0.707211553163511
early_EEC_vs_goblet	DNMT3A	1.3644915677222e-15	0.489890700507571	0.463	0.201	2.65407254837645e-11	0.706762884199892
early_EEC_vs_goblet	HNRNPH1	2.03124127670776e-07	0.489621988129783	0.836	0.842	0.00395096740732426	0.706375214185032
early_EEC_vs_goblet	SULF2	4.64118165529013e-13	0.489611607066918	0.47	0.231	9.02756243770482e-09	0.706360237477118
early_EEC_vs_goblet	SLC25A29	9.40851081610708e-14	0.48921606897983	0.522	0.267	1.83004943884099e-09	0.705789596640394
early_EEC_vs_goblet	TET2	1.56777555751941e-22	0.489139345349591	0.522	0.189	3.04948023693101e-18	0.70567890783953
early_EEC_vs_goblet	STX16	3.77174511771969e-16	0.488105115012764	0.709	0.416	7.33642142847657e-12	0.704186828861451
early_EEC_vs_goblet	PFDN4	1.57216735378352e-17	0.487419496730934	0.97	0.608	3.05802271984432e-13	0.703197690766312
early_EEC_vs_goblet	IRF2BP2	3.61801589060384e-19	0.486634610704538	0.948	0.794	7.03740270881352e-15	0.702065339588369
early_EEC_vs_goblet	PAPSS2	8.43163254447345e-12	0.486579439203915	0.612	0.469	1.64003684622553e-07	0.701985743938021
early_EEC_vs_goblet	PRPF40A	7.44624766446702e-16	0.486263543845781	1	0.786	1.44836963321548e-11	0.701530003271401
early_EEC_vs_goblet	SECISBP2	3.12704801181684e-12	0.485920527398225	0.731	0.519	6.08242108778493e-08	0.701035135143569
early_EEC_vs_goblet	ATP6V1G1	7.38127602505368e-26	0.485557732171758	1	0.985	1.43573199963319e-21	0.700511732269487
early_EEC_vs_goblet	EMC10	3.29145722480996e-19	0.48522235014509	0.963	0.836	6.40221344797786e-15	0.70002787828281
early_EEC_vs_goblet	NAP1L4	1.1289416776911e-18	0.485178844929896	0.933	0.568	2.19590445727697e-14	0.699965113524597
early_EEC_vs_goblet	XIST	4.61188926958986e-09	0.484894798034426	0.672	0.443	8.97058581827923e-05	0.699555320477122
early_EEC_vs_goblet	NDUFB11	3.54047225213002e-30	0.484208720737346	1	0.997	6.8865725776181e-26	0.698565520162959
early_EEC_vs_goblet	TDG	5.74577326699628e-16	0.484187924081448	0.724	0.471	1.11761035816345e-11	0.698535516930627
early_EEC_vs_goblet	CELF1	1.16760803575582e-15	0.484134202479639	0.963	0.654	2.27111439034865e-11	0.698458013042108
early_EEC_vs_goblet	CHMP1B	2.61089443374897e-11	0.48378299772667	0.731	0.536	5.07845076308511e-07	0.697951331686664
early_EEC_vs_goblet	TBPL1	4.59665483094788e-14	0.483514483368295	0.604	0.369	8.94095331167673e-10	0.697563947353428
early_EEC_vs_goblet	GPRIN3	7.11399995967632e-27	0.482949671153336	0.425	0.1	1.38374413215664e-22	0.696749095571873
early_EEC_vs_goblet	IREB2	2.75837787817424e-15	0.482707706398354	0.687	0.406	5.36532081083672e-11	0.696400014219792
early_EEC_vs_goblet	CRYBG1	2.37089078456412e-16	0.482686201253248	0.627	0.307	4.61161966505568e-12	0.696368988853592
early_EEC_vs_goblet	AASDHPPT	4.50293634714161e-18	0.482662654250486	0.664	0.345	8.75866148882514e-14	0.69633501770948
early_EEC_vs_goblet	TMEM97	4.04507930933435e-08	0.481919097376104	0.515	0.333	0.000786808376458625	0.695262291894191
early_EEC_vs_goblet	LDB1	3.00728274109392e-27	0.481633015268589	0.396	0.089	5.84946565970179e-23	0.694849562656392
early_EEC_vs_goblet	JPX	2.56359996437046e-19	0.481496673322778	0.739	0.372	4.98645829069698e-15	0.694652862807305
early_EEC_vs_goblet	OCIAD2	6.72528678281707e-24	0.481437013699949	1	0.996	1.30813553212575e-19	0.694566792165308
early_EEC_vs_goblet	BBX	2.48739294804833e-19	0.481292573176932	0.918	0.54	4.83822802324881e-15	0.694358408539048
early_EEC_vs_goblet	NR2F1	1.00647036781753e-24	0.480983453699794	0.373	0.086	1.95768551244187e-20	0.693912443402338
early_EEC_vs_goblet	HSPA4	1.11095241169903e-20	0.480615795098045	0.978	0.561	2.16091353599578e-16	0.693382024160856
early_EEC_vs_goblet	SF3B1	2.40626599474495e-18	0.48014921316633	0.993	0.731	4.6804279863784e-14	0.692708888721802
early_EEC_vs_goblet	DEPP1	1.1135289213332e-28	0.479545744040024	0.336	0.056	2.16592510488521e-24	0.691838266805951
early_EEC_vs_goblet	SRP9	1.19278010483779e-19	0.479115282353352	1	0.975	2.32007658191999e-15	0.691217241865296
early_EEC_vs_goblet	STRBP	4.66284961705421e-13	0.478845834487561	0.672	0.426	9.06970879013215e-09	0.690828510765541
early_EEC_vs_goblet	BMPR2	2.63320277497719e-12	0.478206398551941	0.567	0.342	5.12184271760813e-08	0.689905999712257
early_EEC_vs_goblet	LAMB1	9.57818036961637e-13	0.477987005263417	0.507	0.268	1.86305186369408e-08	0.689589482102899
early_EEC_vs_goblet	DYNC2H1	4.58231674217494e-27	0.477856554449179	0.343	0.066	8.91306429520447e-23	0.689401281360117
early_EEC_vs_goblet	BCL7A	2.3225154986128e-16	0.47725664066879	0.433	0.168	4.51752489635176e-12	0.68853578872419
early_EEC_vs_goblet	MCRIP1	2.0705591739007e-15	0.477109867836178	0.657	0.37	4.02744464915426e-11	0.688324040286443
early_EEC_vs_goblet	SBK1	1.55107375432438e-29	0.47701302846074	0.373	0.071	3.01699355953634e-25	0.688184330599735
early_EEC_vs_goblet	DNAJA2	1.42606750544235e-19	0.476923174204283	0.993	0.598	2.77384390483592e-15	0.688054698309543
early_EEC_vs_goblet	TRIM28	1.15992032005544e-18	0.476186109006457	0.97	0.598	2.25616101453985e-14	0.686991338003827
early_EEC_vs_goblet	ANKRD11	1.90943521243341e-17	0.475993560628083	1	0.683	3.71404243170422e-13	0.686713549413215
early_EEC_vs_goblet	CSDE1	5.65227138594106e-23	0.47596794295361	1	0.985	1.09942330727939e-18	0.686676590921295
early_EEC_vs_goblet	CTTNBP2NL	1.2854009594358e-12	0.475738901807912	0.657	0.421	2.50023340619857e-08	0.686346154396236
early_EEC_vs_goblet	BZW2	2.50695899508203e-20	0.475578506359883	0.985	0.652	4.87628594133406e-16	0.686114752678783
early_EEC_vs_goblet	PRKAR1A	1.7771120078207e-08	0.475185983907466	0.701	0.533	0.000345666056641204	0.685548462483243
early_EEC_vs_goblet	UBE2M	3.24215205421076e-19	0.475012838112974	1	0.687	6.30630996064534e-15	0.685298665904179
early_EEC_vs_goblet	FTL	1.39757147016477e-19	0.474439517585023	1	1	2.71841626661749e-15	0.684471539221665
early_EEC_vs_goblet	MRPS31	2.0292125866406e-08	0.4740147843837	0.507	0.327	0.000394702140227463	0.683858778738415
early_EEC_vs_goblet	CCT4	7.24001477727421e-17	0.473900674383328	1	0.908	1.40825527432761e-12	0.683694152806763
early_EEC_vs_goblet	KIF19	4.61659552210503e-20	0.473592456103878	0.351	0.087	8.97973995004649e-16	0.68324948782349
early_EEC_vs_goblet	SPATC1L	1.44354955313969e-14	0.473546061272255	0.41	0.166	2.807848235812e-10	0.683182554229983
early_EEC_vs_goblet	RNASEH2C	2.76233936204253e-16	0.472740668103944	0.731	0.401	5.37302629310893e-12	0.682020617500096
early_EEC_vs_goblet	HNRNPR	4.56624498268169e-20	0.472045090720391	1	0.788	8.88180311581416e-16	0.681017111458289
early_EEC_vs_goblet	UBE3A	2.55448304893234e-18	0.471600557149264	0.955	0.603	4.96872497847829e-14	0.680375785079716
early_EEC_vs_goblet	SEPT7	2.7091887076977e-15	0.471203494348888	1	0.716	5.26964295534279e-11	0.679802944546691
early_EEC_vs_goblet	STXBP4	1.46671861084687e-15	0.470903246968901	0.448	0.188	2.85291436995825e-11	0.679369779140545
early_EEC_vs_goblet	CCT8	2.59029699177173e-17	0.470755415255987	1	0.875	5.03838667869519e-13	0.679156503061437
early_EEC_vs_goblet	GRIPAP1	4.10436151931482e-15	0.470382874571716	0.649	0.385	7.98339359121926e-11	0.67861904046371
early_EEC_vs_goblet	NF1	7.63090555410539e-20	0.470312011734884	0.97	0.582	1.48428743932904e-15	0.678516807000429
early_EEC_vs_goblet	APMAP	1.00310377734535e-15	0.469917640682162	0.649	0.36	1.95113715731445e-11	0.677947849838397
early_EEC_vs_goblet	DCTN2	2.1810517676392e-17	0.468986828085868	0.896	0.794	4.24236379323501e-13	0.676604971121726
early_EEC_vs_goblet	PSMC5	1.53654347394139e-17	0.468636005958319	1	0.843	2.9887307111634e-13	0.676098841778078
early_EEC_vs_goblet	KMT2E	4.58013970858892e-20	0.468429949353679	0.993	0.833	8.9088297471763e-16	0.67580156493642
early_EEC_vs_goblet	RPL26L1	2.884364340142e-14	0.468080048863886	0.701	0.419	5.61037707801021e-10	0.675296765234991
early_EEC_vs_goblet	CASP6	1.21655089733108e-07	0.468066984567953	0.56	0.396	0.00236631315039868	0.675277917440036
early_EEC_vs_goblet	KMT2A	8.17303128221966e-19	0.467791328997016	0.97	0.578	1.58973631470455e-14	0.674880230514852
early_EEC_vs_goblet	SSB	4.72856913895889e-18	0.46764379370256	1	0.799	9.19753983218894e-14	0.674667382077184
early_EEC_vs_goblet	CAMK2N1	4.87703877109354e-22	0.467607698235987	1	0.979	9.48632811365404e-18	0.674615307326561
