0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
RND3	ALPK3	S100A10	ANXA3	TUT4	DDX1	ADGRF1	SPIRE1	TRAF3IP1	SLC4A7	MND1	TFDP2	SLC43A1	LAMB1	RHOU	GPX2	MET	LINC01006
MACC1	HIST1H2BC	GJB3	PIGK	KPNA2	LRP8	EPHB6	STARD4	SULT2B1	ZNF431	TRIM22	MCM3	ACTG1	PCGF5	FRY	KATNBL1	LGALS4	BCAT2
IVNS1ABP	RHBDL2	SMPD3	CENPN	DEPDC1B	PDS5B	ZNF704	EIF5	ST3GAL1	MARCH3	CAMK2D	PIGK	MSH2	SUCLG1	MICAL2	ETS2	TNNC2	PGAP1
SKIL	KRT19	KCNJ3	RSRC1	ESPL1	ACAT2	ARID5B	SEL1L3	EFNB2	DNAH7	PLCB4	MAML2	POMP	CMSS1	ANKRD29	SARS	SCEL	RIMBP2
CTTNBP2	HSH2D	PDK4	CENPJ	APLP2	TMEM255B	EMP1	ANKRD22	LMO4	TNS3	SYTL5	MND1	TRIM25	PRKDC	UBXN4	SEPHS1	ANXA13	ELL2
ARF4	GABRP	DDX58	PRR11	KIF20B	RBCK1	DAPP1	HSPA9	LGALS4	SH3PXD2A	CADPS2	GPRIN3	IRS2	RAPGEF5	ITGA1	MAOA	EIF5	CTPS2
NOSTRIN	ZBP1	TMEM54	TACC3	CEP192	GULP1	HOXB3	YPEL5	RRBP1	KDM7A	HPN	ZNF107	REV3L	COL27A1	SAMD9	GRB10	SLC2A2	TOX3
TAF1D	PLAUR	ILK	CENPA	CENPF	ANXA5	EFNB2	HSPH1	MYLK	DLL1	SYT17	MELK	MIA3	ZNF736	TMEM106C	CCNA2	TNFSF15	MS4A8
NEB	SLC15A3	ACP6	PARPBP	INCENP	ACSS2	PRSS23	PTGR1	AP001453.2	ARL13B	IDH2	PARM1	MTF2	CCDC149	ARAP2	CDC25C	TMEM54	SLC36A4
SYTL2	SLFN5	EIF2AK2	GTSE1	MPHOSPH9	NFIL3	SKIL	RMND5A	ONECUT2	SHANK2	FOXP2	KIF20B	NQO1	POLD2	MSN	PCMTD1	LRRC49	TNFRSF11B
ETS2	CTH	RGS16	NASP	PIGK	GOLT1B	LOXL1	MTSS1	KITLG	GPC2	CBFA2T2	NT5DC2	TMEM167A	MCTP1	MYO10	SPDL1	ANXA5	LRRC53
PROM1	SPNS2	WNK2	GFPT1	CIP2A	TMEM54	EREG	AMIGO2	SYTL2	SOX6	TMEM263	KCTD3	CHD7	GCKR	JUND	CKS2	AGR3	ZNF431
SPC25	PADI1	OSER1	SKA3	MACO1	GRB10	PHF21A	GK	CDH17	RGS12	TPCN1	DTL	PIK3R1	CTSC	FAT1	AKR1C3	AKR1B10	KSR2
ITPR2	TKT	EPS8	ARHGAP29	CKAP2	DNAJC10	PAM	COL18A1	ATXN1	TNFRSF11B	PROS1	UBE2T	TMSB10	SHANK2	PLK2	KDM1A	ATP11C	DNMT3A
SEMA3C	TMEM54	MX1	TGFBR1	PIF1	FEM1C	SLC9A2	LPIN1	FAM198B	TOX	SEC24D	ADGRG6	KDM5B	C1orf21	TKT	CDA	AGMO	TSPAN5
CD9	VSIG10L	GPATCH3	KIF14	TMPO	ACSL5	SPINK5	SYNE2	CBLC	YWHAQ	ZNF280D	MKI67	EIF2AK2	CAV1	MBNL2	NUDT4	ZNF32	BDH2
PERP	GARS	PKDCC	HJURP	NT5E	ZFAND2A	CLPTM1L	ANXA5	MASTL	MAP4K4	SBK1	XRCC4	GRAMD1B	HOPX	PARP9	GULP1	NNMT	MAN1A1
PPFIBP1	HIST1H2BD	XXYLT1-AS2	KNSTRN	GAS2L3	GOT1	EEF1A2	RAB3B	ARID5B	NECTIN1	SLC39A8	TFDP1	SQLE	ANO3	SAE1	TRNP1	LAT2	NOL4
EDN1	ZNF432	INPP1	BRCA2	KLK6	YPEL5	AFAP1	ACAT2	AIG1	FAM222A	CCDC125	ZNF704	ADGRF1	KSR2	ZNF143	PHF6	GBP2	ALCAM
