0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
ABAT	PHF14	PRR11	PIK3R1	RASSF6	PSMD1	CDC25C	GUCY2C	NBEA	POC1A	PRSS22	CKS1B	HMGN2	GOLIM4	CHEK1	MARF1	AKR1C2	CAB39L
STRN3	CEACAM6	MIS18BP1	PHACTR3	DZIP3	AL139353.1	ERLEC1	SEMA6A	L3MBTL3	NDC1	C6orf222	LGALS3	TSPAN12	IARS	MCM4	TRABD2A	SUN2	OLFM2
TMPRSS4	KLF7	NCAPG2	GPRC5A	MARCH8	MALAT1	HMMR	KLK10	EDAR	CENPU	XRCC5	MAP2K6	HBP1	PLCE1	GOLGB1	PNO1	GLS	ETNK1
ESYT2	SLC5A12	MELK	ATXN1	ARFGEF3	ATP1A1	SMARCA1	GPA33	RBMS1	TPX2	JPH1	HNF1B	FOXA3	ITGA2	MT2A	XRCC5	CDKN2B	BLMH
EIF4G1	WDR43	PRC1	GULP1	GFPT1	DSCC1	CDCA7	ARHGAP18	SNX10	PBK	TSPAN8	KDM5A	DST	ARFGAP3	PPP1R14A	LNX1	KMT5A	USP14
BMP2K	MALAT1	CENPK	ZBTB10	RDX	AL049830.3	AL136418.1	MUC13	TFCP2L1	AURKB	MYO1D	PARM1	CDCA7	POF1B	UQCC2	MAP2K6	OPTN	ERLEC1
TSPAN8	NCOA1	NUSAP1	LINC01473	PGBD1	LEF1	CCT3	POF1B	SMARCA1	TTK	MXI1	PGM2L1	SMIM14	GLS	MAGED2	RBPJ	APPL2	TEAD1
LEF1	LAMA3	KIF18A	ATF3	ARSB	MUC12	MT2A	PLS1	PDGFA	NUCKS1	CUEDC1	ZMAT3	ABCB1	ME1	RIF1	SMARCC1	DHX36	SUN2
MGAT4A	PADI2	CNTRL	SORL1	CA8	ZNRF3	SNHG18	CLMN	SESN3	NEIL3	SLC2A12	PLA2G10	PPM1G	TMEM236	CCL28	PPP1R3B	MEGF9	ELOVL7
SLC22A3	LEF1	NCAPH	ROCK2	CASC15	NETO2	CEMIP2	EPHB3	MAST4	NCAPD3	GBP2	SLC12A2	ONECUT2	ITGA6	TSPAN12	H2AFY2	KRT80	NBEA
PPP1R3B	P3H2	NSD2	ABAT	ST6GAL1	PIGZ	HIST1H2AC	IGF2BP2	SLC2A1-AS1	RAD51AP1	TOX	MGLL	UBL3	CREB3L2	TFDP1	SPTLC3	DOCK11	SESN1
LARGE2	PLA2G16	STAG1	PAG1	RBPJ	VIPR1	KIF18A	CDC42EP5	HEATR5A	MKI67	CSGALNACT1	LAMA3	C6orf223	SPINK5	RND3	TOX3	CLTB	PGBD1
LINC01133	SMIM2-AS1	LMNB1	ASS1	MBOAT2	C15orf48	RND3	KIF16B	EPS8	TBCD	RAI14	ALDH18A1	FUT11	SLC12A2	SPAG5	KCNQ1	EDAR	NEO1
CA12	MTHFD1L	SHCBP1	TNRC6B	KLF4	KCNQ1	HMGCR	TNS4	SRP54	TYMS	GMDS	PNO1	POF1B	PRSS3	NFKBIA	TNC	TGFBR3	ISG20
FAM13A	S100A10	DLGAP5	SMARCC1	ABCA5	TCOF1	PRC1	MCM5	CPEB4	TTL	EPS8	KIFC3	MALAT1	SHROOM3	MTHFD2	ASS1	GARS	SLCO3A1
BAZ1A	SHROOM3	BORA	AKAP7	FYN	C10orf99	P4HA1	TTC3	PDS5B	CEP295	HIPK2	TMEM47	CIR1	CFTR	PCOLCE2	ZNF254	BNIP3L	VPS13C
PIGZ	SMARCC1	TACC3	TMEM45B	CEP126	TRHDE	ANP32E	ITGA2	FGGY	TP73	GCNT1	AL139353.1	ZMAT3	KRT20	TMCC3	ZSWIM6	RETREG1	MSI2
SPTLC3	DPYSL2	VRK1	GARS	FAM171A1	AC003958.2	AKIRIN2	C7orf50	RHOBTB1	RFC3	EPSTI1	TOX3	OGA	TBC1D4	HELLS	LIMCH1	ITPR2	HPCAL1
NBEA	EPHB1	STIL	KPNA3	YPEL2	FOXM1	ARHGAP23	TRIM24	NUP107	C3orf70	PTK7	SESN3	JUP	SI	ANP32E	GOLIM4	LGALS3	ZNF92
WARS	SYTL2	ASPM	APPL2	FAM214A	BTNL3	SP3	PPARG	KRT19	STIL	RBPJ	AP4S1	SP3	DHX36	TOP2A	PADI2	ISG20	KLF4
PDS5B	EPB41L2	SPDL1	PSMD1	SLC6A6	SYTL2	TMIGD1	PLCB4	XRN1	CDCA8	ULK1	SMOC2	MYB	SLC7A1	ZNF367	OSBPL8	CDK19	ARRDC4
ETS2	MAST4	MDC1	SLC3A1	ADAMTS6	SHROOM3	MYEF2	SRM	ISG20	CHEK1	DIAPH2	ZBTB20	MYLIP	BTNL3	SNX6	IQGAP2	PDCD4	INSR
CCDC175	SI	CDK5RAP2	TES	SLC22A23	TFF3	MSMO1	SLC44A4	KCNQ1	PPP1R14C	ROBO1	ZDHHC11B	MCM5	NEK5	CKS2	RAP1GAP2	KRT23	ZC2HC1A
MAP2K6	ASS1	PARPBP	ENAH	MARF1	SKIL	SRSF2	FBXL20	GNB5	NCAPH	VSNL1	G2E3	SETDB2	TRIM31	ASRGL1	GCNT1	PHLDB2	CDC42EP3
CYB5B	SLFN13	FOXM1	RMND5A	PSAT1	CPEB4	FOXA3	VPS13C	VEZF1	EZH2	CEP126	APCDD1	CDKN2B	NEO1	ST6GALNAC1	FAM155A	SERPINE2	FGFR2
EDN1	PNPLA8	CIP2A	LRMDA	MAP4K4	NSD2	ASPM	MYO7B	KCNMB2-AS1	NUF2	APOLD1	KRCC1	TSPAN8	EPB41L2	CLSPN	TIPARP	SLC7A8	FOXA3
WDR43	MUC20	CDK1	PELI2	PDZRN3	CMSS1	CENPE	ATP9A	EMB	NUSAP1	MGAT5	ANXA3	XRN1	ATF3	KIF22	EPSTI1	MYEF2	PELI2
ATF3	MUC12	TAF3	TMPRSS4	RIMBP2	FLNA	HBP1	LGR5	APCDD1	ACAT2	SOAT1	STXBP5	NFKBIZ	CPEB4	KLK1	TM4SF1	KRT19	FER1L6
ITGA6	PNO1	SYNE2	P3H2	EPHA4	GCNT1	RMND5A	ST6GALNAC1	CERS6	MCM8	ITGB8	ZC3H6	SMIM31	STAG1	SRRT	EIF4G1	APOLD1	STXBP5
FBXL20	MUC13	TTF2	COBL	ELOVL7	LCN15	RAD21	TMPRSS4	SLCO3A1	DSN1	SMOC2	GPR160	IRS2	CAMK2D	FUT11	MACC1	LARGE2	ALCAM
KRT20	SLC17A4	ITGA1	GCLC	TMEM263	TMPRSS4	KNSTRN	AKAP9	ENAH	SMC2	RBMS1	VPS13C	ACSL3	SMC6	INCENP	AKAP7	COL17A1	YPEL2
IQGAP2	C1GALT1	RANGAP1	TSPAN3	CIT	MGLL	ZMAT3	GOLPH3L	ITGA9	FOXM1	GABRA2	MTHFD1L	ITGA1	CHD7	MDK	LINC01133	TSPAN8	ZBTB38
CAMK2D	MGLL	SMC2	DIAPH2	SIPA1L2	TBC1D4	DZIP3	QSOX1	ATP1B1	CEP55	DOCK11	EPAS1	MEF2C	TP53I3	CENPA	TOMM40	CTNNAL1	MATN2
ANXA1	MATN2	CENPJ	COTL1	HIPK2	TUFT1	CIR1	NEDD4L	UTRN	MDC1	PMEPA1	ATP2B1	RIOK3	ABCB1	SCFD1	LINC01473	CEMIP2	SRRT
PSMD11	DESI2	HMMR	CDK19	TP53INP2	BRIP1	TPX2	TGFBR2	OLFM2	KPNA2	LGALS3	AC116345.1	RMND5A	SLC22A23	RFC4	PRSS22	SLC44A4	CNTRL
MYO1D	IL13RA1	CEP295	ESYT2	CDC42EP3	LBR	XRCC2	ITGA9	HHLA2	WDR76	MAN1A1	KCNQ1	LCN2	TSPAN8	LINC02313	PTBP3	UTRN	SMARCC1
THBS1	ADAM19	POLQ	PPP1R3B	GSN	ZDHHC11B	TMEM106B	ATP1B1	PLA2G16	ASF1B	COTL1	TRIB3	MDM4	THBS1	NCAPD3	DESI2	PELI2	PLCB4
PROS1	ATAD5	CENPA	SLC2A1	CAPN5	COL17A1	KIF2C	CHRM3	KIAA1549	CENPJ	DOCK4	ASS1	MAN1A1	CADPS	TCOF1	ANXA4	MUC12	GNG4
LRRC19	NSD2	NDE1	TYMS	KLF12	F10	PSAP	INPP4B	MBOAT2	TACC3	CIR1	LGALS1	TMIGD1	NFAT5	COL17A1	RIOK3	CNKSR3	PGM2L1
PCK1	TRIM31	CSE1L	ATP1B1	AGR2	KRT19	PTPRD	SLC1A1	KRT80	KIF4A	KIAA1324	MVD	PLS1	TM4SF1	DHFR	RPS6KA6	GBP2	DOCK11
RHOBTB3	EDAR	PTTG1	IQGAP2	NCKAP5	SPINK1	BCL2L11	DST	SPAG1	DEK	KLHL7	SEMA6A	YPEL5	CLTB	SUN2	SQSTM1	RHOD	LAMB1
LGR5	RHOD	CARS	GCNT1	MTHFD2	DZIP3	KIF14	SYTL2	GLS	CDCA2	KCNMB2-AS1	LAMC2	LDHA	P3H2	SERPINB5	RHOBTB3	ANXA1	FNBP1
VPS13C	LRP4	CCDC88A	EHF	SLCO3A1	SYTL5	FUT11	ARHGAP42	AL355112.1	CKAP5	UBL3	HECTD1	LINC02313	PAG1	CKAP2L	LGALS4	ABAT	AKR1C2
LURAP1L	RHOBTB3	TMPO	SI	USP14	RHOD	PPP1R10	VAV3	BNIP3L	BLM	KLF4	PSMD11	PNPLA8	TJP3	RAB37	EHD4	ANXA2	SMAD9
GABRA2	CCDC175	TGFBI	PARM1	MEGF9	FANCI	HSPD1	RRBP1	MACC1	SEMA5A	ANXA4	DPP4	PRR15L	GUCY2C	ZWINT	LAMC2	PPP1R9A	SYTL5
SORL1	KPNA3	PRKCA	SLC12A2	GMDS	DIAPH1	ARHGAP5	SMIM31	NFIC	KIF18B	KRT80	P4HA1	TM4SF1-AS1	ASAP2	CFTR	ALDH18A1	RHOBTB3	HERPUD1
CCDC198	SPAG9	TBCD	EDN1	LRRC49	CNGA1	SLBP	ERBIN	EPHB1	SESTD1	HBP1	TNS4	EAPP	NRN1	TTL	TRPM6	TIMP3	HBP1
