0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
CCDC68	H2AFJ	PIMREG	JUND	TEAD2	LYPD6B	ISL1	MLXIP	SIPA1L1	LRRCC1	ENAH	SVIL	FNBP1L	HSPH1	MYH14	PLA2G16	NTN4	PAPSS2
ALG5	INPP4B	DDX60L	CHPF	GNE	HERC6	XAF1	MCM2	PPARG	NUCKS1	DIXDC1	CAPRIN2	HELLS	MAPK6	F5	HJURP	KRT20	TNS3
KCNC3	KIAA1211	CCNB2	DNAJC12	ARRDC4	IFI44	NUCKS1	EML4	MUC16	KIF20B	MAP2K6	SNX10	HBP1	ASPH	VSIG2	RASEF	WARS	FAM222A
EDN1	CEMIP	RTKN2	ZNF165	MAP4K4	HMGCS1	SQLE	GTF3A	RNF213	BLM	INSIG1	CMSS1	TRIM31	PARD3B	EIF1	CENPK	SYNE1	CCDC125
ATAD5	FDPS	ADGRF1	SPIRE1	PAPSS2	BTBD16	SKA2	HELLS	SPINK5	H2AFV	CCDC149	CTSC	NUDC	ACSL5	ACTG1	SP110	GOT1	SMIM14
YPEL2	DNAJC9	IKBIP	PNPLA8	SEL1L	TMBIM1	ZNF165	COBL	AKR1C3	SASS6	DEPTOR	MAOA	PIK3AP1	SEMA3E	CAPN2	IGFL2-AS1	GARS	ZNF618
S100P	YPEL2	PRC1	NTN4	PGBD1	NUDT4	CDC20	SEMA3A	IGFL2-AS1	BUB1B	CEP170	UTRN	SEC61A1	CHPF	S100A10	FAM102A	LURAP1L	GMNN
ROCK2	KDM7A	SEMA3C	GPAT3	RASSF6	ENC1	MLXIP	CREB3L1	COL8A1	OXCT1	KLK12	FAM222A	GNAI1	CDKN2B	EXO1	SLC6A20	ZFP36L1	SNX10
USH1C	HYOU1	MCM10	IGFL2-AS1	CNTNAP2	PTMA	STIL	AGR3	ZC3HAV1	TMPO	CNPY1	DIXDC1	ARF4	ITGA3	IFI35	S100A10	CD9	ZNF711
ARHGAP29	ARRDC4	FAM83D	FNDC3A	KLHL24	RPL22L1	PIF1	INSR	VSIG10L	PLK4	GNAI1	YPEL2	GFPT1	ALCAM	AC092069.1	SMIM14	TANK	PGBD1
EPSTI1	MUC13	POLQ	LYST	CRYBG1	TFPI	CIP2A	MCF2L	OASL	RBL1	ZNF253	SCN9A	SAMHD1	PRSS23	ZMYND8	OPTN	UGDH	MAP2
TRNP1	HMGN3	AURKA	SMCHD1	ULK1	MBOAT2	OIP5	SEMA3B	PMAIP1	MOB3B	ZNF737	HMGCS2	FLNB	FAM241A	PLK2	ANXA13	NEDD1	SVBP
PROS1	F5	GOT1	CALR	SMARCAD1	TMEM45B	LMO7	SH3BGRL	ABCA5	IDH2	ZNF708	SLC9A2	TBC1D17	FDPS	CKS2	NNMT	ANXA10	PPIH
RHOBTB3	MSN	NUCKS1	FAM3C	PJA2	PODXL	CDCA8	RAP1GAP	RARRES3	POC1A	PCLO	TINAG	CANX	XBP1	SMC2	GCLM	SLC3A2	SMARCAD1
HGD	SMAD3	SAMHD1	PLAUR	ELMO1	HOXB3	PRC1	IVNS1ABP	SGK1	BARD1	YPEL1	GULP1	MIA3	CDKN2A	FNDC3A	MND1	HNRNPAB	ITPR2
MOB3B	HEPH	TMPO	IPO5	FCGBP	MGME1	HMGN2	TACC1	MAP4K4	NUF2	ETS2	SESN3	MAN1A1	UFM1	LOXL1	NEBL	NDRG1	ASRGL1
GABRP	DNAJC3	NUSAP1	RIF1	EPHA4	PGM2L1	MYB	ATP9A	ACYP1	BRCA2	AKAP7	RALGAPA2	SCD	TCP11L2	NOX1	KRT80	SERPINE2	NEURL1
MYO10	RPS4X	TOP2A	PPL	BAZ2B	TYMS	CTSS	MAP2K6	COL17A1	KITLG	TOX	CCDC149	SMARCAD1	TNIP1	OAS1	PLK1	TGFB2	CRYBG1
HNRNPAB	NDRG1	ITGB3BP	TKT	AGR3	EIF1	PGM2L1	ARHGAP18	TMPRSS4	OTULINL	EZR	HBP1	PHIP	JUND	BCAS1	DECR1	NNMT	RALGAPA2
SCD	IDH2	PLK4	MGAT5	ATP1B1	CD9	ANP32E	BAZ2B	ARFGAP3	DNAJC1	CTPS2	NREP	ARHGAP29	CLIC3	MAN1A1	SAV1	HNF1B	JMY
EML4	CMSS1	LBR	EXPH5	ZNF680	GATA2-AS1	DIAPH3	PMEPA1	TMEM154	KIFC1	KRT19	CCNE1	WARS	TMEM41B	ANO1	CDKN2B	MAP2	RFX6
ATF3	VSIG10L	PARPBP	H2AFJ	ROBO2	SSR3	SPDL1	SOX6	IBTK	ECT2	AUTS2	F5	S100P	CCL20	ANXA10	TESC	EEF1A2	IQGAP2
ATXN1	IL6R	MX1	CDV3	CEP170	MAML2	NIPSNAP1	FBXO5	EPB41L1	KNL1	DPYSL2	MLF1	PNPLA8	CXCL8	KIF18A	PRSS23	ZNF66	OTULINL
BCL2L1	CD82	ASPM	ABCA5	ZNF260	MVD	IFIH1	ARSJ	CTSS	VRK1	DECR1	HPCAL1	ST3GAL1	DYNLL1	KNSTRN	SESN3	TBC1D17	DEPTOR
FAT1	ANTXR2	BORA	HSP90B1	DNAJC12	TRPS1	EDN1	VSIG2	KPNA7	STIL	ZBED3	SLC12A2	ISG20	TESC	PRKDC	CSE1L	TMEM140	AC091563.1
ATP2B1	EREG	GPC4	AREG	TFDP2	PHGR1	HSD17B2	ETS2	ISL1	DTL	KLHL24	TFPI	ERO1B	SUZ12	KIF23	BTBD16	SPTSSB	TRAM1
FA2H	KLK6	POC1A	CTSC	PROX1	TGM2	RDM1	SMC1A	PGM2L1	CKAP5	PBXIP1	MSMO1	CDKN2B	ULK1	MYO10	ANXA10	PSAT1	FBXL4
PAM	TTR	ASRGL1	CALB2	KIAA1549	PRNP	NEB	ITPR2	UFM1	ASF1B	KIAA1549	BPTF	SPAG9	BCAR3	TBXAS1	DNMT1	CLIP4	FBP1
A1CF	PMAIP1	CBX5	CARS	MBNL1	MBNL1	GPC3	RASEF	SDCBP2	MTSS1	CREB3L1	CEP170	OSTC	BBS4	FOXO1	LGALS4	CCSAP	CGNL1
MTSS1	ACAT2	NRP1	JAG1	TOX3	IFIT1	TMEM106C	S100A10	BLVRA	KIF23	ATP11C	KIF13A	ARL6IP6	AHNAK2	STX3	RAD21	AL450992.1	ELL2
ITGAM	CTNNAL1	H2AFV	CADPS2	CTPS2	MTUS2	NUSAP1	TRIM2	CRYBG1	MGME1	SMIM31	B4GALT4	IFIT1	STX3	PCNT	PDLIM7	VSIG2	FIRRE
DMKN	GSTA4	NTSR1	SPTSSB	ZNF141	DUT	HYLS1	TBC1D17	SEMA3A	JPH1	TXNIP	COL27A1	SARS	XRCC4	HYLS1	CTNNAL1	PRNP	SYNE1
GPR160	CAV2	CEP152	SUZ12	CDC25B	EPB41L1	TACC3	ZFP36L1	PIK3AP1	CENPW	CBX1	SLC22A23	ANXA4	SELENOS	ELL2	GARS	PLAUR	PKDCC
TUBA1C	AC089983.1	RDM1	INPP4B	IMPA2	CGNL1	CKS2	GMPR	CCL28	CENPH	OTULINL	SMC3	UBL3	NDRG1	KIF11	AKR1B10	MYO1B	SEL1L
TMEM263	MYO10	KIF22	TMCO3	ZBED3	CTTNBP2	MSMO1	COLCA2	ANO3	WDR34	ZNF649	PRKCA	B4GALT5	MUC13	XAF1	SPIRE1	CEMIP	C21orf58
IL6ST	MAOB	PGBD1	ATP2B4	RFX6	GATA2	OSTC	ATP2B4	LRR1	NCAPD2	LNX1	MTSS1	ACSL5	SQSTM1	CENPF	AKR1C3	ZFAND2A	IL6R
ROR1	CD9	NEB	CTH	PROS1	EGFR	NCAPD2	ANXA9	PMEPA1	DSCC1	ZNF141	TMEM263	LGR4	GDF15	SH3KBP1	NCAPH	PERP	TFDP2
CTTNBP2	PRSS23	EDN1	SVIL	SVBP	EFNB2	ARL6IP6	ADAMTS6	EPS8	EGFR	RGS7	LRP8	AKAP9	MALAT1	FRAS1	CA2	GEM	BMPR2
