HT29_EV_0	HT29_EV_1	HT29_EV_10	HT29_EV_11	HT29_EV_12	HT29_EV_13	HT29_EV_14	HT29_EV_15	HT29_EV_16	HT29_EV_17	HT29_EV_2	HT29_EV_3	HT29_EV_4	HT29_EV_5	HT29_EV_6	HT29_EV_7	HT29_EV_8	HT29_EV_9	HT29_LSD1_KD_0	HT29_LSD1_KD_1	HT29_LSD1_KD_10	HT29_LSD1_KD_11	HT29_LSD1_KD_12	HT29_LSD1_KD_13	HT29_LSD1_KD_14	HT29_LSD1_KD_15	HT29_LSD1_KD_16	HT29_LSD1_KD_17	HT29_LSD1_KD_2	HT29_LSD1_KD_3	HT29_LSD1_KD_4	HT29_LSD1_KD_5	HT29_LSD1_KD_6	HT29_LSD1_KD_7	HT29_LSD1_KD_8	HT29_LSD1_KD_9
FHL2	TCEAL9	CHD6	SOS1	BAZ1A	SQSTM1	TKT	BLVRB	CLRN3	TNFRSF11B	DEPDC1B	ANKRD22	PLCL2	LGALS3	TLE4	NR2F1	CLPTM1L	XRCC2	S100A10	ODC1	AK9	ZNF66	UBN2	PKIB	GDA	HDAC9	IGF2R	ZNF737	ECT2	DEK	LNX1	INSIG1	MCTP1	BRWD3	SEMA3A	DUT
AREG	RARRES1	FGFR2	FER	IP6K2	YPEL5	ITPKC	LGALS4	TUBA1C	CCNJL	QPCT	NDRG1	TMCC1	NAT14	FAM210A	DOPEY1	WNT2B	NSD2	TRIB1	TTC3	SOX6	TBXAS1	IFIT3	SEMA3E	CBR4	ANXA13	ZSCAN16-AS1	CDC25B	KIF14	UFM1	LRRIQ1	BCAR3	MYEF2	NHS	BARX2	CIT
MACF1	TMEM140	SLC12A2	FMNL2	TMEM106C	FADS3	TSPAN1	CAST	HNRNPU	ZNF100	KIF11	SMCHD1	RAB30	UCP2	CEP55	GOLGB1	ALOX5	CFAP44	SIL1	DNAH5	DACH1	EEF1A2	TNS4	MAGED1	KNL1	GEM	SMIM31	SYTL5	CDC25C	OAS1	DNAH7	GOLT1A	BUB1B	CDK6	ROR1	SMC1A
ANXA2	TKT	ITGB8	ABL1	KLF5	CYP51A1	XRN1	ME1	DPP4	ZNF608	LCA5	PTGR1	SLCO5A1	ABCC4	CTTNBP2NL	CD46	NFKB1	TUT4	NR4A2	LINC01239	A1CF	LINC01184	ANXA2	CXCL8	MRE11	ANXA3	CTNNAL1	SHANK2	KNSTRN	DST	SH3PXD2A	MAML2	CHEK2	PRKCA	CEACAM1	CLSPN
MYCBP2	TXNRD1	ITPR2	ARID4A	ZKSCAN1	ANKRD22	SNX9	TES	SYNE1	SLC44A5	E2F7	SESN1	ABCA5	DOCK4	CAVIN1	TMEM106C	C19orf48	FAM111B	SCG5	STK17A	SPTLC3	MAP2K6	RNF213	CALB2	F5	SDCBP2	OAS3	RGS7	DEPDC1B	ZNF165	AC018618.1	WWOX	SH3BGRL	PRKDC	CTTNBP2	NCAPD3
QPCT	NLRC5	CEP170	GPATCH2	IGF2R	TES	PSAT1	PDLIM7	CAPN2	PDZRN3	KRT17	AC103702.2	STIM2	MBNL2	TMEM139	KIF3A	SSR4	CDK5RAP2	TMPRSS4	PARD3B	SLC12A2	ENAH	ARID5B	SPIRE1	PLA2G4A	PGM5	ITGA6	DNMT3A	CENPF	CAST	ZNF618	MVD	KNL1	SRGAP1	RGCC	ARAP2
KLF10	PSAP	ARID4B	BPTF	TGFB1	AMIGO2	SMARCA1	ACYP2	NT5E	DNMT3A	ZMYM1	UACA	TNS3	TRAF3IP1	AURKA	S100A10	GUSB	MCM10	EPS8	NR4A2	CEP162	HIPK2	HOXB3	ANTXR2	TNRC6A	TMEM263	SCEL	RIMBP2	OIP5	SERPINB1	KIDINS220	EMP1	NEB	PAM	COL17A1	TFDP2
PSMB8	CTSZ	CCNJL	NOSTRIN	ARRDC3	SPTBN1	PDLIM7	TXN	IL18	ELL2	ANLN	PSMB8	PPFIBP2	KCNC3	ABCC1	ITPKC	XBP1	MTSS1	GPX2	HIST1H2AC	BAZ2B	VMP1	STAT1	IGF2R	GSDMB	TMEM238L	KPNA2	EPHA4	GPSM2	ASPH	CAPN9	PARP14	MZT1	LMAN1	PRSS23	MND1
KIF3A	DPP4	DOCK4	SLC2A13	CHD2	SLC9A2	SLC16A4	TBPL1	SPINK1	MBOAT2	KIF2C	DKC1	HPN	BCAR3	ECT2	MTHFD2	DDX60	IFT81	ABL2	BACH1	GPR173	NPSR1	ITGA1	TMEM263	XAF1	LPIN2	TRIM31	PJA2	NEB	SEC61A1	FAM222A	CEACAM1	ANLN	MAOA	ABCC4	NCAPH
TES	QSOX1	DIXDC1	EXOC6B	PSAP	SLC38A2	TMEM97	SPIRE1	ANXA5	LINC01006	DIAPH3	PGM3	C12orf42	FRMD4B	FNDC3A	LGALS3	TSC22D1	RGS2	TNFSF10	PRSS3	HPCAL1	NEB	OPTN	GPX2	FAM174B	CDKN2A	SPINK1	AMOT	INCENP	LPIN2	PLPP1	ABCA1	KIF20B	GPX2	LMAN1	HELLS
ARF4	H2AFZ	TOX3	SMARCA1	PMEPA1	SMCHD1	EMP1	PTGR1	ANXA1	EPHA4	ANXA3	BACE2	ASPH	CHD2	TIPARP	KLF5	XAF1	USP37	BCAS1	ANKRD29	DNAH7	LINC01239	CD46	KLK10	AURKB	FAM102A	SERPINB1	PDZRN3	CHEK2	CLIP4	IL4R	SPINK5	BIRC5	GPRIN3	B2M	NUSAP1
ITGA6	ALOX5	PALLD	CTSC	REV3L	GK	CD9	WHAMM	WDR26	RIMBP2	KLF5	MRPS6	SLC36A4	PHF21A	HMMR	TIPARP	ZNF611	PRIM1	PHLDA2	ARHGEF38	TACC1	KIAA1211	IFIH1	COL17A1	MAML2	GPX2	STK17A	NTM	MKI67	TMCO3	CSRNP3	LINC00685	SYNE2	LPP	TRPS1	TM4SF1
